model,type,mono_cpc,color_cpc,lease_cost,name,company,email,password,services,rating,provider
Ricoh IM C3000,A3,1.1,4.8,75,new4,new4 company,new4@vendor.com,$2b$10$9apXmf25Y5U6FcBtrZRZBOdRu35xfq8b1Wo6jN9yUnFfHioY33lbW,"Photocopiers, CCTV",0,Ricoh Only
Ricoh IM C4500,A3,1,4.5,85,new4,new4 company,new4@vendor.com,$2b$10$9apXmf25Y5U6FcBtrZRZBOdRu35xfq8b1Wo6jN9yUnFfHioY33lbW,"Photocopiers, CCTV",0,Ricoh Only
Ricoh IM C2500,A3,1.2,5,70,new4,new4 company,new4@vendor.com,$2b$10$9apXmf25Y5U6FcBtrZRZBOdRu35xfq8b1Wo6jN9yUnFfHioY33lbW,"Photocopiers, CCTV",0,Ricoh Only
Ricoh MP C307,A4,1.3,5.2,50,new4,new4 company,new4@vendor.com,$2b$10$9apXmf25Y5U6FcBtrZRZBOdRu35xfq8b1Wo6jN9yUnFfHioY33lbW,"Photocopiers, CCTV",0,Ricoh Only
Ricoh IM 550F,A4,1,0,40,new4,new4 company,new4@vendor.com,$2b$10$9apXmf25Y5U6FcBtrZRZBOdRu35xfq8b1Wo6jN9yUnFfHioY33lbW,"Photocopiers, CCTV",0,Ricoh Only
Ricoh IM C6000,A3,0.9,4.3,90,new4,new4 company,new4@vendor.com,$2b$10$9apXmf25Y5U6FcBtrZRZBOdRu35xfq8b1Wo6jN9yUnFfHioY33lbW,"Photocopiers, CCTV",0,Ricoh Only
Ricoh IM C2000,A3,1.4,5.5,65,new4,new4 company,new4@vendor.com,$2b$10$9apXmf25Y5U6FcBtrZRZBOdRu35xfq8b1Wo6jN9yUnFfHioY33lbW,"Photocopiers, CCTV",0,Ricoh Only
Ricoh MP C501SP,A4,1.2,4.9,55,new4,new4 company,new4@vendor.com,$2b$10$9apXmf25Y5U6FcBtrZRZBOdRu35xfq8b1Wo6jN9yUnFfHioY33lbW,"Photocopiers, CCTV",0,Ricoh Only
Ricoh IM C8000,A3,0.8,4,110,new4,new4 company,new4@vendor.com,$2b$10$9apXmf25Y5U6FcBtrZRZBOdRu35xfq8b1Wo6jN9yUnFfHioY33lbW,"Photocopiers, CCTV",0,Ricoh Only
Ricoh MP C401,A4,1.1,5.1,45,new4,new4 company,new4@vendor.com,$2b$10$9apXmf25Y5U6FcBtrZRZBOdRu35xfq8b1Wo6jN9yUnFfHioY33lbW,"Photocopiers, CCTV",0,Ricoh Only
